variable,weight
w_total_compensation_k1000_795,43.90759499103364
w_total_compensation_k1000_802,-7.080424262039769
w_total_compensation_k1000_803,4.266290018974162
w_total_compensation_k1000_804,-2.2355025397817867
w_total_compensation_k1000_805,13.120274447100075
w_total_compensation_k1000_806,56.12518021326747
w_total_compensation_k1000_807,3.176234259319129
w_total_compensation_k1000_808,-12.732010821913903
w_total_compensation_k1000_809,-16.42050676186242
w_total_compensation_k1000_810,-95.00257033008184
w_total_compensation_k1000_811,351.2519175811514
w_total_compensation_k1000_812,94.31615233190864
w_total_compensation_k1000_813,-4.948181774775976
w_total_compensation_k1000_814,0.8871887785160515
w_total_compensation_k1000_815,-0.38325291465608885
w_total_compensation_k1000_816,-0.373203777262611
w_total_compensation_k1000_817,4.992885974750121
w_total_compensation_k1000_818,-4.066833237697716
w_total_compensation_k1000_829,12.831545189927121
w_total_compensation_k1000_830,-1.9701960639325025
w_total_compensation_k1000_831,2.9025458668450312
w_total_compensation_k1000_835,-0.7776234236600438
w_total_compensation_k1000_836,9.650218442107603
w_total_compensation_k1000_846,-69.67983419154223
w_total_compensation_k1000_853,-25.07013003419265
w_total_compensation_k1000_864,-6.915406869821671
w_total_compensation_k1000_875,-4.615925091350199
w_total_compensation_k1000_879,-53.567708843898515
w_total_compensation_k1000_89,-145.08579384829096
w_total_compensation_k1000_897,17.06969798273536
w_total_compensation_k1000_911,-20.398011661688166
w_total_compensation_k1000_915,3.0217001457277504
w_total_compensation_k1000_93,-10.795127978040778
w_total_compensation_k1000_936,-1.6935438358667319
w_total_compensation_k1000_95,151.84741259154447
w_total_compensation_k1000_976,152.77948889081622
w_total_compensation_k1000_98,83.28605285608359
w_total_compensation_k1000_997,-88.20379337686185
