role_k1000_v3,role_k1000_v3_num,x_2d,y_2d
Order Coordinator,311,8.282827,6.1532288
Parts and Aftersales,312,6.6877313,4.2946234
Print Operations,313,8.64256,7.8528852
Quotation Analyst,314,4.353582,4.43392
Warranty Analyst,315,4.225643,4.1791515
Diversity and Inclusion Coordinator,316,7.1804895,2.577445
Employee Relations,317,5.847711,1.7673997
HR Business Partner,318,5.949253,1.7992725
HR Coordinator,319,6.0280585,1.9453123
HR Intern,320,6.0945606,1.9817462
Healthcare Recruitment Manager,321,6.1276693,1.3563023
Labor Mediator,322,3.7704508,1.9299182
Legal Recruiter,323,6.112962,1.4430038
Military Recruiter,324,6.1902432,1.4571465
Recruitment Coordinator,325,6.1982756,1.574416
Talent Acquisition Specialist,326,6.1328773,1.4399253
Talent Development,327,6.1201677,1.6352181
Aviation Operations,328,7.1113167,8.820743
Fleet Coordinator,329,7.735496,6.8580704
Fuel Operations Coordinator,330,7.245295,6.9467206
Logistics Dispatcher,331,8.790965,6.347395
Logistics Officer,332,8.833851,6.3563037
Maritime Operations,333,6.950823,8.872036
Recycling Engineer,334,6.5352373,7.9829483
Scheduler,335,6.320227,6.8079834
Transportation Operations,336,8.641331,6.615867
Transportation Planner,337,5.837505,7.092897
Biofuels Operations,338,6.940958,7.355139
Food Manufacturing Technician,339,8.632326,7.7158113
Labeling Coordinator,340,8.316258,6.1545024
Manufacturing Operations,341,8.477068,7.677565
Process Improvement Specialist,342,4.2999434,5.4246087
Product Launch Manager,343,1.6756583,4.7064695
Supplier Quality Assurance,344,3.1507392,8.111005
Contact Center Operations,345,6.9731665,6.023577
Department Manager,346,7.3620167,6.6019874
Energy and Mining Operations,347,6.9065146,7.443344
Facilities Administrator,348,7.004675,7.2482395
Facilities Operations,349,7.111646,7.1355023
Field Operations,350,7.1844707,6.2507114
Global Operations Manager,351,6.746709,6.464509
HR Operations,352,5.916799,1.8537085
Industrial Infrastructure Manager,353,6.2263603,7.1127133
Maintenance Coordinator,354,7.0845404,7.2787676
Operations Intern,355,7.188684,6.162755
Operations Leadership,356,6.837533,6.4406157
Operations Management,357,6.8043127,6.4060555
Operations Manager,358,6.7357078,6.4337387
Operations Specialist,359,7.020957,6.1516976
Relocation Consultant,360,6.053957,3.0802734
Scheduling Coordinator,361,7.886008,5.9200644
Service Operations,362,7.0815344,6.0033402
Site Operations,363,7.046996,6.3473353
Workforce Planner,364,5.994323,6.9094534
Contract Administrator,365,4.4093533,4.219242
Document Controller,366,4.3739176,1.6146303
Industry Coordinator,367,7.032385,2.7755082
Industry Planner,368,6.034642,6.92634
Industry Project Manager,369,2.055579,4.8189683
Operations Support,370,7.0592957,6.0954394
Project Controller,371,2.5742195,4.509965
Project Coordination,372,2.5514543,4.645095
Subcontract Coordinator,373,4.459295,4.3348794
Tender Coordinator,374,4.5214286,4.350806
Apparel Production,375,8.6183605,7.746632
Clinical Supply Chain,376,8.410177,6.2968664
Commodity Trader,377,3.442516,3.9233568
Customs Analyst,378,6.355842,3.1488092
Customs Compliance,379,6.3664503,3.1284206
Distribution Coordinator,380,8.48217,6.2017007
E-commerce Fulfillment,381,7.8069315,5.990074
Freight Coordinator,382,8.662976,6.343881
Import Export Coordinator,383,6.5661993,3.0167878
Inventory Coordinator,384,8.358885,6.1771765
Logistics Coordinator,385,8.694734,6.241609
Logistics Technician,386,8.878742,6.389689
Maintenance Planner,387,6.551561,7.1458516
Manufacturing Finance Analyst,388,3.961285,3.6769965
Medical Logistics,389,8.853294,6.396379
Merchandise Planner,390,6.1095357,6.86652
Parts Coordinator,391,8.2305155,6.4753914
Planning Analyst,392,5.866906,6.9761405
Planning Specialist,393,5.916634,6.9675617
Procure to Pay Analyst,394,4.298258,4.263255
Procurement Analyst,395,4.1955996,4.2801237
Production Coordinator,396,7.798391,6.6807675
Production Planner,397,6.202863,6.9100475
Purchasing Agent,398,4.4698715,4.378113
Quality Control Analyst,399,3.118489,8.100732
Retail Project Manager,400,2.2393122,4.679108
Space Planner,401,5.9069967,7.025223
Supplier Diversity,402,5.159084,4.33374
Supply Chain Analyst,403,8.100928,6.2599745
Supply Chain Coordinator,404,8.250118,6.165764
Supply Chain Intern,405,8.053102,6.2871647
Supply Chain Network Planner,406,6.153192,6.8858056
Supply Chain Operations,407,8.226423,6.4483852
Supply Chain Project,408,8.142178,6.3938313
Sustainable Supply Chain,409,6.1774616,7.8695445
Trade Logistics,410,8.818701,6.269488
Vendor Relations,411,5.0657372,4.298975
Warehouse Operations,412,8.480824,7.030817
Business Services Coordinator,413,6.7240624,2.665787
Change Communication,414,4.6313033,5.113668
Change Management,415,4.399989,5.289964
HR Systems Analyst,416,3.7098334,5.2887335
Knowledge Manager,417,5.2192574,4.8545337
Learning Systems Administrator,418,7.9066033,1.1431532
Onboarding Coordinator,419,6.100368,1.8793963
Performance Consultant,420,4.233859,5.5715175
Process Specialist,421,7.1109343,6.4260826
Transformation Consultant,422,4.35029,5.692854
Workforce Analyst,423,3.8600683,5.30272
Business Continuity Analyst,424,2.1236777,3.1862376
Cybersecurity Analyst,425,1.93629,3.4096003
Cybersecurity Specialist,426,1.9005697,3.420495
Data Privacy,427,2.2503228,3.620825
Digital Forensics Analyst,428,2.3961067,2.9535015
Disaster Recovery Analyst,429,2.3402755,3.0597353
IT Security Auditor,430,2.2687023,3.374369
IT Security Specialist,431,1.95396,3.4616365
Incident Responder,432,1.946154,3.2917438
Intelligence Analyst,433,3.2295635,4.712334
Network Security Analyst,434,1.9665486,3.4492633
Security Analyst,435,1.960207,3.437008
Security Clearance Analyst,436,3.4548876,4.6527734
Security Monitor,437,5.686899,9.570631
Security Program Manager,438,1.9437673,3.9824922
Threat Analyst,439,2.0311809,3.2473087
Trust and Safety Analyst,440,2.1186361,3.3119764
Vulnerability Analyst,441,1.9876487,3.2995636
BIM Coordinator,442,4.949852,7.5210958
Business Intelligence Analyst,443,3.4054086,5.1947894
Clinical Data Specialist,444,3.0173523,5.4284396
Data Analyst,445,3.2565777,5.2872596
Data Manager,446,3.0561988,5.5999494
Data Steward,447,3.0598187,5.6757264
Digital Marketing Analyst,448,5.152899,4.980459
E-Discovery Analyst,449,2.5535324,2.8673475
GIS Analyst,450,5.2605495,7.2347097
HR Data Analyst,451,3.7345264,5.194797
Healthcare Data Analyst,452,3.2745485,5.293566
Administrative Support,453,5.6720495,2.25266
Capacity Planner,454,6.0260744,6.9614806
Customer Support Expert,455,6.525325,5.2791786
Data Center Operations,456,6.4732275,7.172208
Database Administrator,457,3.276879,6.4711523
IT Administrator,458,4.5451193,6.6987653
IT Asset Manager,459,5.6191015,6.6648507
IT Operations Management,460,6.3102956,6.583436
IT Support,461,4.808111,6.759395
IT Support Technician,462,4.921102,6.7640433
IT Systems Administrator,463,4.421202,6.755284
Incident Response,464,2.019402,3.2420893
Mainframe Engineer,465,3.5963297,6.938027
Mobility Technician,466,7.226883,7.4888573
Network Manager,467,4.617586,6.6282125
Network Performance Analyst,468,4.4657063,6.4878435
Network Specialist,469,4.758094,6.740936
Operations Support Specialist,470,7.0063,6.1012115
Technical Operations,471,6.9389353,6.3415513
Technical Support,472,5.086946,6.7273264
Technical Support Operations,473,6.8990173,6.124898
Technical Trainer,474,8.292998,0.64463747
Telecom Support Technician,475,5.115669,6.7940187
Agile Coach,476,8.146669,0.8462867
Automation Specialist,477,3.8112853,7.3766365
CRM Consultant,478,3.3090496,6.3809295
Cloud Advisor,479,3.797116,6.186068
Delivery Manager,480,2.1206937,4.6955547
Digital Archivist,481,4.568368,1.6538949
Digital Project Management,482,2.2043393,4.8019557
Digital Strategy Consultant,483,4.519591,5.5111294
Digital Workplace Consultant,484,4.362363,5.7093997
Enterprise Architect,485,3.7428384,6.3419003
Finance Project Manager,486,2.389759,4.545467
Healthcare Consultant,487,4.269666,5.75353
Healthcare Project Management,488,2.25869,4.7643523
IT Consultant,489,4.0665383,6.51981
Implementation Analyst,490,3.4842834,5.0850673
Legal Project Manager,491,2.2968597,4.592495
Localization Coordinator,492,6.4279847,2.770912
Messaging Marketing,493,5.5697308,4.835068
Mobility Consultant,494,6.1337643,3.1492252
Product Owner,495,1.6485134,4.631188
Product Support Technician,496,5.2218146,6.799351
Program Manager,497,2.1534193,4.8073072
Project Management,498,2.1450775,4.7958302
Project Manager,499,2.2213237,4.721365
Release Engineer,500,3.4138625,7.349419
Risk Compliance Analyst,501,3.367261,3.043583
Security Project Manager,502,2.0326462,4.3490367
ServiceNow Consultant,503,3.2908359,6.4804187
Technology Integrator,504,3.8411467,6.480667
Telecom Consultant,505,5.0451503,6.7487955
Business Analyst,506,3.5731559,4.9429445
Configuration Analyst,507,3.4396813,5.259151
Customer Experience Analyst,508,6.4661474,5.469386
Document Analyst,509,4.3903375,1.6641613
Dynamics 365 Consultant,510,3.3047678,6.500028
E-commerce Analyst,511,7.626198,5.9102325
EDI Analyst,512,3.455718,5.3829765
ERP Consultant,513,3.534288,6.5803113
HCM Systems Analyst,514,3.5802069,5.376546
Healthcare Systems Analyst,515,3.4365387,5.358797
Insurance Analyst,516,4.012161,3.5769274
LIMS Analyst,517,3.0476677,5.0787234
Operations Analyst,518,6.94269,6.1288524
Program Analyst,519,3.5747962,4.816891
QA Analyst,520,3.1216178,8.095964
Records Administrator,521,4.515574,1.6969306
SAP Consultant,522,3.3036096,6.605539
SAP Data Analyst,523,3.2743514,5.82289
SAP Developer,524,3.0878825,6.6755824
SAP Instructor,525,8.304707,0.8279128
SAP Test Engineer,526,3.1347036,7.172668
